COD_LISPRE,Categoría,SubCategoría,Nombre Comercial del Producto
FE960,Hornos,A definir,HORNO ROTATIVO P/ CARRO MEDIANO DE 15 BANDEJAS 70X90 / 80X80
GALILEO,Sistemas de panificación,A definir,
MBE-80U-S,Amasadoras,A definir,
MBE-200U-S,Amasadoras,A definir,
PA340,Hornos,A definir,
C4000-19,Equipos para croissants,A definir,
M-6130-17,Laminadoras,A definir,
TORNADO-PL,Mesas de trabajo,A definir,
BLIND-LI-FULL,Sobadoras,A definir,
GALILEO-ARTESAN,Sistemas de panificación,A definir,
COMPRESSLINE,Líneas Modulares,A definir,
LINEA-CIABATTA,Líneas Modulares,A definir,
FOGLIA,Laminadoras,A definir,
TORNADO-PL-II,Mesas de trabajo,A definir,
GT-38,Trinchadoras,A definir,
FE III-315-ROTATIVO,Hornos,A definir,
FE-III-315-PISO,Hornos,A definir,
FE-III-315-CAMARA,Cámaras de fermentacíón,A definir,
360-BE,Sobadoras,A definir,
CORBOLI,Bolleras,A definir,
MBE-160HA,Amasadoras,A definir,
DB,Divisoras,A definir,
FE4-0-472,Hornos,A definir,
FE-BIO-960-y-472,Hornos,A definir,
FE-BIO-960-y-472,Hornos,,
ARM-4000,Equipos para croissants,A definir,
RAPIFREDDO-T5,Ultracongeladores,A definir,
GTC-MODULAR,Trinchadoras,A definir,
GTCG,Trinchadoras,A definir,
H2C,Hornos,A definir,
DBS,Divisoras,A definir,
CFA,Cámaras de fermentacíón,A definir,
EU2C-MODULAR,Trinchadoras,A definir,
ELEVA,Amasadoras,A definir,
MBE-40T,Amasadoras,A definir,
SGAU-MODULAR,Trinchadoras,A definir,
SGGPM,Trinchadoras,A definir,
SGAUG,Trinchadoras,A definir,
SP-MODULAR,Trinchadoras,A definir,
HORECA,A definir,A definir,
NATO,A definir,A definir,
MINICONV,A definir,A definir,
DOS-AR,Dosificador de agua,A definir,
PA390,Hornos,A definir,
RAPIFREDDO-15,Ultracongeladores,A definir,
HCI-500,Enfriador,A definir,
DBSA,Divisoras,A definir,
A-60,Batidoras,A definir,
CFC-40b,Cámaras de fermentacíón,A definir,
DB4B,A definir,A definir,
DB2B,Divisoras,A definir,
BPNS-20L,A definir,A definir,
GP-70I-MOD,Grissinera,A definir,
RAPIFREDDO-30,Ultracongeladores,A definir,
BRISEELINE,Depositadora,A definir,
GT-MINI,Trinchadoras,A definir,
GT-PANIER,A definir,A definir,
BPNS-40L,A definir,A definir,
DOSIF-RELLENO,Dosificador de rellenos,A definir,
A-160,Batidoras,A definir,
MINI-LINEA-COORD,Líneas Modulares,A definir,
MINI-LINEA-RETRAC,A definir,A definir,
C12000,Equipos para croissants,A definir,
ARTESAN,Divisoras,A definir,
CHOPRA-III,Depositadora,A definir,
LINEA-PIZZAS,Líneas Modulares,A definir,
LINEA-EMPANADAS,A definir,A definir,
M-66,A definir,A definir,
LPN-520S,A definir,A definir,
LIDO,A definir,A definir,
SPNI-500,A definir,A definir,
BC1200I,Bolleras,A definir,
ARD6I-MOD,A definir,A definir,
FDPM,Formador de pizza,A definir,
DB1200,A definir,A definir,
TRANSP-BARRAS,A definir,A definir,
INSIGNIA,Sistemas de panificación,A definir,
AMBRO-PRESS,Prensagrasa,A definir,
RPNM-RPN,A definir,A definir,
FMI-10-12,A definir,A definir,
BPNV-300,A definir,A definir,
MP-1I,A definir,A definir,
DPN-2232,A definir,A definir,
MIX-60,Batidoras,A definir,
BHC,Bolleras,A definir,
M-6130-17CORTE,Laminadoras,A definir,
DOSIF-RELLENO-X5,Dosificador de rellenos,A definir,
